INDEX_STORE,CUSTOMER,STORE_ID_CUST,STORE_NAME_CUST,CUSTOMER_NAME,STORE_ID,STORE_NAME,PROVINCE,STORE_TYPE,REGION,CHANNEL,Latitude,Longitude,STORE_SIZE,HUB_STORE,TOP_STORE,STORE_RANK,REMARK
MK-21,MK,21,บมจ.ซีพี แอ็กซ์ตร้า สาขาสามเสน,Makro,S00685,MK:SAMSEN,BANGKOK,STORE,BKK CENTRAL,MDT,13.791182,100.513284,,,N/A,,
MK-154,MK,154,บมจ.ซีพี แอ็กซ์ตร้า สาขาปราจีนบุรี,Makro,S00690,MK-PRACHINBURI,PRACHINBURI,STORE,WEST&EAST,MDT,14.056814,101.389414,,,N/A,,
MK-157,MK,157,บมจ.ซีพี แอ็กซ์ตร้า สาขานครราชสีมา3 (เซฟวัน),Makro,S00699,MK-SAVE_ONE-NAKHONRATCHASRIMA_3,NAKHONRATCHASIMA,STORE,NORTHEAST,MDT,14.649287,101.408814,,,N/A,,
MK-27,MK,27,บมจ.ซีพี แอ็กซ์ตร้า สาขาภูเก็ต,Makro,S00702,MK-PHUKET,PHUKET,STORE,SOUTH,MDT,7.894208,98.363862,ECO+B,,N/A,,
MK-102,MK,102,บมจ.ซีพี แอ็กซ์ตร้า สาขานครราชสีมา2,Makro,S00723,MK-NAKHONRATCHASIMA_2,NAKHONRATCHASIMA,STORE,NORTHEAST,MDT,14.927999,102.223152,,,N/A,,
MK-120,MK,120,บมจ.ซีพี แอ็กซ์ตร้า สาขาปทุมธานี,Makro,S00745,MK:PATHUMTHANI,PATHUMTHANI,STORE,BKK CENTRAL,MDT,14.030628,100.524996,,,N/A,,
MK-41,MK,41,บมจ.ซีพี แอ็กซ์ตร้า สาขาเชียงใหม่2,Makro,S00768,MK-HANG_DONG-CHIANGMAI_2,CHIANGMAI,STORE,NORTH,MDT,18.784652,99.033192,,,N/A,,
MK-60,MK,60,บมจ.ซีพี แอ็กซ์ตร้า สาขาตราด,Makro,S00784,MK-TRAT,TRAT,STORE,WEST&EAST,MDT,12.258692,102.516293,CLASSIC B,,N/A,,
MK-167,MK,167,บมจ.ซีพี แอ็กซ์ตร้า สาขาเชียงใหม่ (จอมทอง),Makro,S00788,MK-JOMTHONG-CHIANGMAI,CHIANGMAI,STORE,NORTH,MDT,,,,,N/A,,
MK-42,MK,42,บมจ.ซีพี แอ็กซ์ตร้า สาขารามอินทรา,Makro,S00792,MK:RAMINTRA,BANGKOK,STORE,BKK CENTRAL,MDT,13.816018,100.696815,CLASSIC B,,N/A,,
MK-89,MK,89,บมจ.ซีพี แอ็กซ์ตร้า สาขาพิษณุโลก2,Makro,S00793,MK-PHITSANULOK_2,PHITSANULOK,STORE,NORTH,MDT,16.817242,100.322717,ECO+B,,N/A,,
MK-82,MK,82,บมจ.ซีพี แอ็กซ์ตร้า สาขานครนายก,Makro,S00800,MK-NAKHONNAYOK,NAKHONNAYOK,STORE,WEST&EAST,MDT,14.226557,101.235193,,,N/A,,
MK-53,MK,53,บมจ.ซีพี แอ็กซ์ตร้า สาขาหัวหิน,Makro,S00806,MK-HUAHIN-PRACHUAPKHIRIKHAN,PRACHUAPKHIRIKHAN,STORE,WEST&EAST,MDT,13.72364807,100.5699473,,,N/A,,
