INDEX_MODEL,CUSTOMER,SKU_NO,BARCODE,SKU_NAME,MODEL,SKU_TYPE,USE_SELLOUT,USE_STOCK,CHK_CAT,CHK_SUB_CAT,SIZE,REMARK,REMARK
MK-893572-8855671026024,MK,893572,8.85567E+12,ค.หยอดเหรียญ12KHAIER HWM120-1826,HWM120-1826T,SELLABLE,,,WM,Top Load,12.0KG,,
MK-929365-8855671029971,MK,929365,8.85567E+12,HAIER ซักผ้าฝาบน12KG#HWM120-316S6,HWM120-316S6,SELLABLE,,,WM,Top Load,12.0KG,,
MK-841679-8855671015417,MK,841679,8.85567E+12,#ค.ซักผ้า1ถ.14KG.HAIER#HWM140,HWM140,SELLABLE,,,WM,Top Load,14.0KG,,
MK-847732-8855671020329,MK,847732,8.85567E+12,#ค.ซักผ้าหยอดเหรียญ HAIER HWM140,HWM140,SELLABLE,,,WM,Top Load,14.0KG,,
MK-899662-8855671026031,MK,899662,8.85567E+12,ค.หยอดเหรียญ HAIER HWM140 DG,HWM140 DG,SELLABLE,,,WM,Top Load,14.0KG,,
MK-854117-8855671019361,MK,854117,8.85567E+12,ค.ซักผ้า2T14KG HAIER#HWM140 OXIGB,HWM140 OXIGB,SELLABLE,,,WM,Top Load,14.0KG,,
MK-853125-8855671014625,MK,853125,8.85567E+12,#ค.ซักผ้า1ถัง HAIER#HWM140-1701D,HWM140-1701D,SELLABLE,,,WM,Top Load,14.0KG,,
MK-899661-8855671028868,MK,899661,8.85567E+12,ค.ซักผ้า1T14KG HAIER#HWM140 DG,HWM140-1826T,SELLABLE,,,WM,Top Load,14.0KG,,
MK-923867-8855671029964,MK,923867,8.85567E+12,ค.ซักผ้า1T15KG HAIER#HWM150-316S6,HWM150-316S6,SELLABLE,,,WM,Top Load,15.0KG,,
MK-855066-,MK,855066,,#ค.ซักผ้า1ถ. 7KG.HAIER#HWM70-170,HWM70-1708T,SELLABLE,,,WM,Top Load,7.0KG,,
